receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260710-155835,2026-07-10,Dagrofa Food Service,1,"Majsmel 2,5kg",cornmeal,food,carbohydrate,1,2.5,kg,2.5,,,45.95,45.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,2,Hvedemel 2kg,wheat flour,food,carbohydrate,6,2,kg,12,,,10.95,65.70,high
20260710-155835,2026-07-10,Dagrofa Food Service,3,Lager eddike farvet 1L,vinegar,food,condiment,1,1,l,,1,,6.95,6.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,4,Heidelberg eddike u/farve 1L,vinegar,food,condiment,1,1,l,,1,,6.95,6.95,low
20260710-155835,2026-07-10,Dagrofa Food Service,5,Æblecidereddike 500ml,apple cider vinegar,food,condiment,1,500,ml,,0.5,,14.95,14.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,6,Flydende margarine 70% 500ml,margarine (liquid),food,fat-oil,3,500,ml,,1.5,,12.95,38.85,high
20260710-155835,2026-07-10,Dagrofa Food Service,7,"Hvidløgsfed naturel 1,5kg",garlic (peeled cloves),food,vegetable,1,1.5,kg,1.5,,,92.95,92.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,8,Sort peber knust 450g,black pepper (crushed),food,spice,1,450,g,0.45,,,99.95,99.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,9,Olivenolie ekstra jomfru 1L,olive oil,food,fat-oil,1,1,l,,1,,74.95,74.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,10,Mix oliven uden sten 1700g/1000g,"olives (mixed, pitted)",food,vegetable,1,1000,g,1,,,106.00,106.00,low
20260710-155835,2026-07-10,Dagrofa Food Service,11,Basmati ris 5kg,basmati rice,food,carbohydrate,1,5,kg,5,,,119.00,119.00,high
20260710-155835,2026-07-10,Dagrofa Food Service,12,Græskarkerner varmebehandlet 1kg,pumpkin seeds (roasted),food,fat-oil,1,1,kg,1,,,104.00,104.00,low
20260710-155835,2026-07-10,Dagrofa Food Service,13,Dijon original 865g,dijon mustard,food,condiment,1,865,g,0.865,,,48.95,48.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,14,Pinto bønner barbunya 900g,pinto beans,food,legume,1,900,g,0.9,,,29.95,29.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,15,Røde Kidney bønner 900g,kidney beans,food,legume,1,900,g,0.9,,,27.95,27.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,16,"Kikærter forkogte 2,5/1,5kg",chickpeas,food,legume,1,1.5,kg,1.5,,,40.95,40.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,17,Bønner black eye 900g,black-eyed beans,food,legume,1,900,g,0.9,,,28.95,28.95,high
20260710-155835,2026-07-10,Dagrofa Food Service,18,Italian Dressing 2200ml,italian dressing,food,condiment,1,2200,ml,,2.2,,81.95,81.95,high
