receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260712-090658,2026-07-12,365discount,1,Yoghurt naturel,plain yogurt,food,dairy,1,,,,,,9.95,9.95,low
20260712-090658,2026-07-12,365discount,2,Yoghurt naturel,plain yogurt,food,dairy,1,,,,,,9.95,9.95,low
20260712-090658,2026-07-12,365discount,3,Yoghurt jordbær,strawberry yogurt,food,dairy,1,,,,,,12.95,12.95,low
20260712-090658,2026-07-12,365discount,4,Kaffefløde 9%,coffee cream 9%,food,dairy,1,,,,,,12.95,12.95,low
20260712-090658,2026-07-12,365discount,5,Kaffefløde 9%,coffee cream 9%,food,dairy,3,,,,,,12.95,38.85,low
20260712-090658,2026-07-12,365discount,6,Marinerede sild,marinated herring,food,protein,1,,,,,,34.95,34.95,low
20260712-090658,2026-07-12,365discount,7,Kryddersild,spiced herring,food,protein,1,,,,,,34.95,14.05,low
20260712-090658,2026-07-12,365discount,8,Karrysild,curry herring,food,protein,1,,,,,,34.95,24.50,low
20260712-090658,2026-07-12,365discount,9,3st original salami,salami (original),food,protein,4,,,,,,24.95,99.80,low
20260712-090658,2026-07-12,365discount,10,Klovborg skive,Klovborg cheese (sliced),food,dairy,2,,,,,,26.00,52.00,low
20260712-090658,2026-07-12,365discount,11,Øko familieost mild,organic family cheese (mild),food,dairy,4,,,,,,28.95,115.80,low
20260712-090658,2026-07-12,365discount,12,Yoghurt jordbær,strawberry yogurt,food,dairy,1,,,,,,12.95,12.95,low
20260712-090658,2026-07-12,365discount,13,Yoghurt naturel,plain yogurt,food,dairy,1,,,,,,9.95,9.95,low
20260712-090658,2026-07-12,365discount,14,Karrysild,curry herring,food,protein,1,,,,,,34.95,24.50,low
20260712-090658,2026-07-12,365discount,15,Klovborg skive,Klovborg cheese (sliced),food,dairy,2,,,,,,26.00,52.00,low
20260712-090658,2026-07-12,365discount,16,Klovborg skiver 45+,Klovborg cheese slices (45%+ fat),food,dairy,3,,,,,,28.95,78.00,low
20260712-090658,2026-07-12,365discount,17,Rynkeby saft 1l,Rynkeby juice 1L,beverage,beverage,4,1,l,,4,,23.95,95.80,high
20260712-090658,2026-07-12,365discount,18,Nektar æble,apple nectar,beverage,beverage,2,,,,,,11.25,22.50,low
20260712-090658,2026-07-12,365discount,19,Nektar appelsin,orange nectar,beverage,beverage,2,,,,,,16.95,33.90,low
20260712-090658,2026-07-12,365discount,20,Øko kærnemælk,organic buttermilk,food,dairy,1,,,,,,13.95,13.95,low
