receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260714-120244,2026-07-14,Netto,1,Egelykke Esther ML,Egelykke cheese (mild),food,cheese,5,300,g,1.5,,,24.95,124.75,low
20260714-120244,2026-07-14,Netto,2,Egelykke Lagret sk.,"Egelykke cheese (aged, sliced)",food,cheese,5,300,g,1.5,,,34.00,170.00,low
20260714-120244,2026-07-14,Netto,3,Rabat,discount,non-food,other,,,,,,,-45.25,-45.25,low
20260714-120244,2026-07-14,Netto,4,Egelykke 45+ ML skv.,"Egelykke cheese (45%+ fat, mild, sliced)",food,cheese,4,300,g,1.2,,,24.95,99.80,low
20260714-120244,2026-07-14,Netto,5,Lurpak smørbar 200g,Lurpak spreadable butter,food,dairy,5,200,g,1,,,27.95,139.75,high
20260714-120244,2026-07-14,Netto,6,Rabat,discount,non-food,other,,,,,,,-40.00,-40.00,low
20260714-120244,2026-07-14,Netto,7,Kalkunbryst,turkey breast (sliced),food,protein,10,,,,,,15.95,159.50,low
20260714-120244,2026-07-14,Netto,8,Hamburgerryg,cured/smoked pork loin (sliced),food,protein,15,,,,,,10.95,164.25,low
20260714-120244,2026-07-14,Netto,9,Iceberg,iceberg lettuce,food,vegetable,2,1,pcs,,,2,12.00,24.00,high
20260714-120244,2026-07-14,Netto,10,Samsø agurkesalat,cucumber salad,food,vegetable,2,,,,,,16.61,33.22,low
20260714-120244,2026-07-14,Netto,11,Samsø rødkål,red cabbage salad,food,vegetable,4,,,,,,14.12,56.48,low
20260714-120244,2026-07-14,Netto,12,Øko skyllet spinat,organic washed spinach,food,vegetable,3,,,,,,24.00,72.00,low
20260714-120244,2026-07-14,Netto,13,Hakket grønt,chopped mixed greens,food,vegetable,8,,,,,,32.95,263.60,low
20260714-120244,2026-07-14,Netto,14,Vanilleess.,vanilla essence,food,spice,1,,,,,,15.50,15.50,low
20260714-120244,2026-07-14,Netto,15,Maille sennep,Maille mustard,food,condiment,1,,,,,,22.00,22.00,high
20260714-120244,2026-07-14,Netto,16,Skrabeæg 10 M/L,"free-range eggs (10-pack, medium/large)",food,protein,6,10,pcs,,,60,31.95,191.70,high
20260714-120244,2026-07-14,Netto,17,Hvede sandwich 800g,wheat sandwich bread,food,carbohydrate,4,800,g,3.2,,,14.00,56.00,high
20260714-120244,2026-07-14,Netto,18,Pagen limpan,Pågen limpa bread,food,carbohydrate,1,,,,,,27.25,27.25,low
20260714-120244,2026-07-14,Netto,19,Rabat,discount,non-food,other,,,,,,,-5.25,-5.25,low
20260714-120244,2026-07-14,Netto,20,Bakersfield burgerbo,burger buns,food,carbohydrate,10,,,,,,15.00,150.00,low
