receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260712-145217,2026-07-12,Meny Aarup,1,Classico Kidney Bønner,kidney beans (Classico; net of rebate),food,legume,11,,,,,,12.77,140.47,low
20260712-145217,2026-07-12,Meny Aarup,2,Gestus Red Kidney Beans,kidney beans (Gestus; net of rebate),food,legume,16,,,,,,9.00,144.00,low
20260712-145217,2026-07-12,Meny Aarup,3,Gestus Skrabæg M/L,free-range eggs M/L (Gestus; net of rebate),food,protein,5,,,,,,25.00,125.00,low
20260712-145217,2026-07-12,Meny Aarup,4,Karolines Revet Tex Mex,grated Tex Mex cheese blend (Karolines; net of rebate),food,dairy,4,,,,,,12.00,48.00,low
20260712-145217,2026-07-12,Meny Aarup,5,Kylling Inderfilet,chicken tenderloin (net of rebate),food,protein,5,,,,,,159.95,799.75,low
20260712-145217,2026-07-12,Meny Aarup,6,GB Red Kidney Beans Øko,kidney beans (organic),food,legume,11,,,,,,8.95,98.45,low
20260712-145217,2026-07-12,Meny Aarup,7,GB Lime Saft Øko 250 ml,lime cordial (organic),beverage,beverage,1,250,ml,,0.25,,19.95,19.95,high
20260712-145217,2026-07-12,Meny Aarup,8,Mark Svampe 400 g,mushrooms,food,vegetable,6,400,g,2.4,,,25.00,150.00,high
20260712-145217,2026-07-12,Meny Aarup,9,Æbler 6 stk,apples (6-pack),food,fruit,5,6,pcs,,,30,28.00,140.00,high
20260712-145217,2026-07-12,Meny Aarup,10,Øko-Fennikel stk,fennel bulb (organic),food,vegetable,3,1,pcs,,,3,22.00,66.00,high
20260712-145217,2026-07-12,Meny Aarup,11,GB Sesamfrø Øko,sesame seeds (organic),food,fat-oil,1,,,,,,22.95,22.95,low
20260712-145217,2026-07-12,Meny Aarup,12,Grøn Balance Fine Ærter Øko,fine peas (organic),food,vegetable,1,,,,,,13.95,13.95,low
20260712-145217,2026-07-12,Meny Aarup,13,Squash,squash/courgette,food,vegetable,5,,,,,,12.00,60.00,low
20260712-145217,2026-07-12,Meny Aarup,14,Rødkål stk,red cabbage (head),food,vegetable,8,1,pcs,,,8,22.00,176.00,high
20260712-145217,2026-07-12,Meny Aarup,15,Forårsløg,spring onions,food,vegetable,7,,,,,,10.00,70.00,low
20260712-145217,2026-07-12,Meny Aarup,16,Dild 1 pt,dill (bunch),food,spice,1,1,pcs,,,1,14.00,14.00,high
20260712-145217,2026-07-12,Meny Aarup,17,Øko-Dild 1 pt,dill (organic bunch),food,spice,2,1,pcs,,,2,22.00,44.00,high
20260712-145217,2026-07-12,Meny Aarup,18,Silkline Daily Jumbo Rulle,paper towel roll (jumbo),non-food,other,4,,,,,,35.95,143.80,low
20260712-145217,2026-07-12,Meny Aarup,19,GB Kokosmælk 17-19% Øko,coconut milk 17-19% fat (organic),food,fat-oil,3,,,,,,19.95,59.85,low
20260712-145217,2026-07-12,Meny Aarup,20,Panda Expressen Kokosmælk 5-7%,coconut milk 5-7% fat (Panda),food,fat-oil,3,,,,,,8.95,26.85,low
20260712-145217,2026-07-12,Meny Aarup,21,Kikkoman Sojasauce,soy sauce (Kikkoman),food,condiment,4,,,,,,69.95,279.80,low
20260712-145217,2026-07-12,Meny Aarup,22,BD Sesamolie,sesame oil,food,fat-oil,4,,,,,,44.95,179.80,low
20260712-145217,2026-07-12,Meny Aarup,23,Spicefield Ris Vineddike,rice vinegar (Spicefield),food,condiment,2,,,,,,22.95,45.90,low
20260712-145217,2026-07-12,Meny Aarup,24,Øko-Gulerødder 1 kg,carrots (organic; 1kg),food,vegetable,2,1,kg,2,,,18.00,36.00,high
20260712-145217,2026-07-12,Meny Aarup,25,Gulerødder i bk,carrots (punnet),food,vegetable,1,,,,,,18.00,18.00,low
20260712-145217,2026-07-12,Meny Aarup,26,Iceberg stk,iceberg lettuce (head),food,vegetable,4,1,pcs,,,4,12.00,48.00,high
20260712-145217,2026-07-12,Meny Aarup,27,First Price Cremefraiche 18%,crème fraîche 18% fat (First Price),food,dairy,1,,,,,,19.95,19.95,low
20260712-145217,2026-07-12,Meny Aarup,28,Spicefield Curry Paste,curry paste (Spicefield),food,condiment,6,,,,,,14.95,89.70,low
20260712-145217,2026-07-12,Meny Aarup,29,Spicefield Nudler uden æg,egg-free noodles (Spicefield),food,carbohydrate,26,,,,,,7.07,183.82,low
20260712-145217,2026-07-12,Meny Aarup,30,Øko Revet Gulerod,grated carrot (organic),food,vegetable,1,,,,,,10.00,10.00,low
20260712-145217,2026-07-12,Meny Aarup,31,Grønt,vegetables (unspecified),food,vegetable,1,,,,,,20.00,20.00,low
