receipt,date,vendor,line,name_da,name_en,category,type,qty,pack_size,pack_unit,total_kg,total_l,pieces,unit_price,line_total,confidence
20260713-133843,2026-07-13,Dagrofa Food Service,1,Tagliatelle 91 brede bånd 500g,"tagliatelle (wide ribbon pasta), 500g",food,carbohydrate,14,500,g,7,,,18.95,265.30,high
20260713-133843,2026-07-13,Dagrofa Food Service,2,Spaghetti ristorante 8 5kg,spaghetti (catering pack),food,carbohydrate,1,5,kg,5,,,93.95,93.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,3,"Wienerpølse kylling 62,5g 1kg",chicken frankfurters (62.5g each) 1kg pack,food,protein,7,1,kg,7,,,116.00,812.00,high
20260713-133843,2026-07-13,Dagrofa Food Service,4,Rosiner jumbo 1kg,raisins (jumbo) 1kg,food,fruit,1,1,kg,1,,,49.95,49.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,5,Mandelsplitter 1kg,flaked almonds 1kg,food,fat-oil,1,1,kg,1,,,152.00,152.00,low
20260713-133843,2026-07-13,Dagrofa Food Service,6,Salat Rucola vasket 500 g (2),"rocket salad, washed, 500g",food,vegetable,2,500,g,1,,,29.95,59.90,high
20260713-133843,2026-07-13,Dagrofa Food Service,7,"Svampe Champignon Mark 2,5 kg",button mushrooms 2.5kg,food,vegetable,1,2.5,kg,2.5,,,96.95,96.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,8,"Svampe Portobello store 10-12 cm 1,5 kg",portobello mushrooms (large 10-12cm) 1.5kg,food,vegetable,1,1.5,kg,1.5,,,74.95,74.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,9,Salat Baby Spinat vasket 500 g (2),"baby spinach, washed, 500g",food,vegetable,4,500,g,2,,,29.95,119.80,high
20260713-133843,2026-07-13,Dagrofa Food Service,10,Pølser vegansk (60g) 3kg,vegan sausages (60g each) 3kg,food,protein,1,3,kg,3,,,267.00,267.00,high
20260713-133843,2026-07-13,Dagrofa Food Service,11,Kyllingepølser 10x34g,chicken sausages 10x34g,food,protein,24,340,g,8.16,,240,11.95,286.80,high
20260713-133843,2026-07-13,Dagrofa Food Service,12,Smørbart plantefedtstof 2kg,spreadable plant-based fat 2kg,food,fat-oil,2,2,kg,4,,,99.95,199.90,high
20260713-133843,2026-07-13,Dagrofa Food Service,13,Bladselleri ca. 500g (10),celery (leaf) approx. 500g,food,vegetable,7,500,g,3.5,,,14.95,104.65,low
20260713-133843,2026-07-13,Dagrofa Food Service,14,Kyllingefilet 140-160g 2kg,chicken fillet (140-160g pieces) 2kg pack,food,protein,7,2,kg,14,,,155.00,1085.00,high
20260713-133843,2026-07-13,Dagrofa Food Service,15,Gær 50g,yeast 50g,food,other,40,50,g,2,,,1.50,60.00,low
20260713-133843,2026-07-13,Dagrofa Food Service,16,Agurker m/film (42),cucumbers (film-wrapped 42-pack),food,vegetable,4,42,pcs,,,168,7.95,31.80,low
20260713-133843,2026-07-13,Dagrofa Food Service,17,Gulerødder strimler 3mm 1kg (6),shredded carrots (3mm) 1kg,food,vegetable,5,1,kg,5,,,22.95,114.75,high
20260713-133843,2026-07-13,Dagrofa Food Service,18,Persille krus ps 150 g (16),curly parsley 150g bag,food,spice,1,150,g,0.15,,,11.95,11.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,19,Løg Rødløg 60/80mm 1 kg (160),red onions (60/80mm) 1kg,food,vegetable,3,1,kg,3,,,9.59,28.77,high
20260713-133843,2026-07-13,Dagrofa Food Service,20,Æbler røde 1 ps 2 kg (6),red apples 2kg bag,food,fruit,1,2,kg,2,,,37.95,37.95,high
20260713-133843,2026-07-13,Dagrofa Food Service,21,Kortgebyr,card surcharge,non-food,other,1,,,,,,36.01,36.01,high
