line	name_da	qty	unit_price	line_total
1	Nutella 350 g	4	47.95	191.80
2	Nektar Æble	10	11.25	112.50
3	Nektar Appelsin	10	16.95	169.50
4	Rynkeby Saft 1 L	10	23.95	239.50
5	Valsemøllen Manitoba	6	23.50	141.00
6	Kyllingebryst 90 g	2	16.95	33.90
7	Håndsprit gel 250 ml	2	17.25	34.50
8	Kyllingebryst 100 g	2	13.50	27.00
9	Hummus Natural	3	14.95	44.85
10	G&J Pålæg Mælk 2-PK	1	49.25	49.25
11	Yoghurt Jordbær	4	12.95	51.80
12	Yoghurt Pære/Banan	4	12.95	51.80
13	Yoghurt Naturel	2	9.95	19.90
14	Plantegurt Blåbær	2	25.95	51.90
15	Rabat (Plantegurt Blåbær)	2	-5.95	-11.90
16	Plantegurt Vanilje	1	25.95	25.95
17	Rabat (Plantegurt Vanilje)	1	-5.95	-5.95
