line	name_da	qty	unit_price	line_total
1	FAXE KONDI EKSOTISK			99.00
2	PANT			24.00
3	FAXE KONDI 24-PAK			99.00
4	PANT			24.00
5	FAXE KONDI LEMONADE			99.00
6	PANT			24.00
7	ROYAL EXPORT 18-PAK			113.75
8	RABAT			-14.75
9	PANT			18.00
10	ROYAL EXPORT 18-PAK			113.75
11	RABAT			-14.75
12	PANT			18.00
13	FAXE KONDI OKAL 24DS			99.00
14	PANT			24.00
15	FAXE KONDI OKAL 24DS			99.00
16	PANT			24.00
17	FAXE KONDI OKAL 24DS			99.00
18	PANT			24.00
19	PILSNER 20X33 CL			99.00
20	PANT			20.00
21	VAND 50 CL	54	2.50	135.00
22	PANT	54	1.50	81.00
