line	name_da	qty	unit_price	line_total
1	NUTELLA 630G	2	89.00	178.00
2	SKRÆBÆRG 10 M/L	8	31.95	255.60
3	EGELYKKE PEACH MELBA	1	15.95	15.95
4	RABAT		4.00	-4.00
5	EGELYKKE YOG JOR 1L	1	17.95	17.95
6	RABAT		6.00	-6.00
7	EGELYKKE PÆRE/BANAN	2	15.95	31.90
8	RABAT		8.00	-8.00
9	ÆBLENEKTAR 1,5L	7	11.25	78.75
10	APPELSINNEKTAR 1,5L	6	16.95	101.70
11	SØDMÆLK	7	13.50	94.50
12	BACON I SKIVER	16	29.90	478.40
13	RABAT		159.20	-159.20
14	BELLAFONDE HONNING	1	19.09	19.09
15	BF JORDBÆR 800G	2	19.95	39.90
16	STILKTOMATER	1	28.00	28.00
17	SANDWICH LB	1	25.50	25.50
18	PAGEN LIMPAN	2	27.25	54.50
19	RABAT		10.50	-10.50
20	GAMLE MØLLE SANDWIC	1	15.20	15.20
21	CHESTFORDS KETCHUP	1	9.48	9.48
