line	name_da	qty	unit_price	line_total
1	Yoghurt naturel	1	9.95	9.95
2	Yoghurt naturel	1	9.95	9.95
3	Yoghurt jordbær	1	12.95	12.95
4	Kaffefløde 9%	1	12.95	12.95
5	Kaffefløde 9%	3	12.95	38.85
6	Marinerede sild	1	34.95	34.95
7	Kryddersild	1	34.95	14.05
8	Karrysild	1	34.95	24.50
9	3st original salami	4	24.95	99.80
10	Klovborg skive	2	26.00	52.00
11	Øko familieost mild	4	28.95	115.80
12	Yoghurt jordbær	1	12.95	12.95
13	Yoghurt naturel	1	9.95	9.95
14	Karrysild	1	34.95	24.50
15	Klovborg skive	2	26.00	52.00
16	Klovborg skiver 45+	3	28.95	78.00
17	Rynkeby saft 1l	4	23.95	95.80
18	Nektar æble	2	11.25	22.50
19	Nektar appelsin	2	16.95	33.90
20	Øko kærnemælk	1	13.95	13.95
21	Leverpostej	1	13.95	13.95
22	K-s æggesalat	4	20.95	60.00
23	Kyllingebryst 100g	7	13.50	94.50
24	Hønsesalat	2	18.95	37.90
25	Karrysalat	3	10.95	32.85
26	Skinkesalat 250g	2	17.25	34.50
27	Tun i vand	8	10.00	80.00
28	Letmælk	5	10.95	54.75
29	Hummus natural	2	14.95	29.90
30	Ama let omega 3	5	17.95	89.75
31	Appelsin marmelade	4	11.95	47.80
32	Øko kærnemælk	1	13.95	13.95
33	Rapsolie 1l	1	19.95	19.95
34	Valsemøllen manitoba	1	23.50	23.50
35	Valsemøllen manitoba	1	23.50	23.50
36	Rugmel	1	9.95	9.95
37	Øko smørbar blok	1	16.95	16.95
38	Rugmel	1	9.95	9.95
39	Fuldkornsmel 1kg	1	12.50	12.50
40	Fuldkornsmel 1kg	1	12.50	12.50
41	Wasa knækbrød	4	34.95	136.00
42	Dg solsikkerugbrød	1	25.95	20.00
43	Familierugbrød	2	19.95	28.00
44	Lb kernegrov 950g	1	25.95	25.95
45	Softkernerugbrød	2	28.00	56.00
46	Klosterbrød	1	26.00	26.00
47	Skrabæg 15 stk	4	45.50	182.00
