line	name_da	qty	unit_price	line_total
1	ISTERNINGER	4	19.95	79.80
2	FYRFADSLIGHTER	1	15.00	15.00
3	KOKKEVISKESTYKKER	3	20.00	60.00
4	SALAMI SKIVER	5	14.95	74.75
5	KARTOFFELSALAT	3	23.75	71.25
6	HVIDLØG PATÉ 250 G	1	16.95	16.95
7	RYNKEBY SAFT 1 L	6	23.95	143.70
8	HVIDLØG PATÉ 250 G	1	16.95	16.95
9	KLOVBORG SKIVER 45+	8	28.95	231.60
10	RABAT		23.60	-23.60
11	KLOVBORG SKIVE	8	26.00	208.00
12	K-S ÆGGESALAT	2	20.95	41.90
13	RABAT		11.90	-11.90
14	SKRABEÆG 15 STK	2	45.50	91.00
15	LURPAK SMØRBAR	6	22.95	137.70
16	K-S ÆGGESALAT	1	20.95	20.95
17	RABAT		5.95	-5.95
18	K-S ÆGGESALAT	1	20.95	20.95
19	RABAT		5.95	-5.95
20	LB SANDWICHRUGBRØD	3	25.95	77.85
21	RABAT		17.85	-17.85
22	LIMPAN BRØD	4	26.50	106.00
23	RABAT		26.00	-26.00
24	ØKO FENNIKEL	5	15.00	75.00
25	SPIDSKÅL	1	15.00	15.00
26	RABAT		3.00	-3.00
27	SPIDSKÅL	7	15.00	105.00
28	RABAT		21.00	-21.00
29	ØKO COURGETTE	1	8.50	8.50
30	ØKO COURGETTE	10	8.50	85.00
31	PORRER	4	21.00	84.00
