line	name_da	qty	unit_price	line_total
1	Tagliatelle 91 brede bånd 500g	14	18.95	265.30
2	Spaghetti ristorante 8 5kg	1	93.95	93.95
3	Wienerpølse kylling 62,5g 1kg	7	116.00	812.00
4	Rosiner jumbo 1kg	1	49.95	49.95
5	Mandelsplitter 1kg	1	152.00	152.00
6	Salat Rucola vasket 500 g (2)	2	29.95	59.90
7	Svampe Champignon Mark 2,5 kg	1	96.95	96.95
8	Svampe Portobello store 10-12 cm 1,5 kg	1	74.95	74.95
9	Salat Baby Spinat vasket 500 g (2)	4	29.95	119.80
10	Pølser vegansk (60g) 3kg	1	267.00	267.00
11	Kyllingepølser 10x34g	24	11.95	286.80
12	Smørbart plantefedtstof 2kg	2	99.95	199.90
13	Bladselleri ca. 500g (10)	7	14.95	104.65
14	Kyllingefilet 140-160g 2kg	7	155.00	1085.00
15	Gær 50g	40	1.50	60.00
16	Agurker m/film (42)	4	7.95	31.80
17	Gulerødder strimler 3mm 1kg (6)	5	22.95	114.75
18	Persille krus ps 150 g (16)	1	11.95	11.95
19	Løg Rødløg 60/80mm 1 kg (160)	3	9.59	28.77
20	Æbler røde 1 ps 2 kg (6)	1	37.95	37.95
21	Kortgebyr	1	36.01	36.01
