line	name_da	qty	unit_price	line_total
1	Hvedemel Tipo 0 Manitoba 5kg	2,00	67,95	135,90
2	Kokosmælk 18% tetra 1L	6,00	20,95	125,70
3	Tomater groft hakkede 2,5kg	3,00	28,95	86,85
4	Bordsalt fint med jod 1kg	1,00	9,95	9,95
5	Røde linser hele 1kg	2,00	18,95	37,90
6	Pizzamel professional 10kg	1,00	110,00	110,00
7	Olivenolie sansa 1L	1,00	49,95	49,95
8	Øko Limesaft 1L	1,00	48,95	48,95
9	Linser røde 3kg	1,00	68,95	68,95
10	Salsa chunky medium 2250g	1,00	83,95	83,95
11	Tex Mex style topping 940g	1,00	87,95	87,95
12	Tortilla chips chili 475g	6,00	23,95	143,70
13	Majs løse super sweet 2,1kg/1,7kg	1,00	45,95	45,95
14	Tabasco original sauce 350ml	1	132,00	132,00
15	Bagepulver 140g	1	9,95	9,95
16	Risnudler 3mm 500g	14,00	16,95	237,30
17	Brødkniv hvid 250/385mm	1,00	51,95	51,95
18	Brødkniv hvid 300/430mm	1,00	51,95	51,95
19	Viskestykke hvid 12-pk	1,00	64,95	64,95
20	Ahornsirup 1L	1,00	149,00	149,00
21	Æblegrød 500g	6,00	12,95	77,70
22	Blandet Saft C Rød 1L	8,00	26,95	215,60
23	Brun farin 2kg	3,00	39,95	119,85
24	Sukker 2kg	4,00	17,95	71,80
25	Karry madras 450g strødåse	1	66,95	66,95
26	Solsikkeolie 1L	2,00	17,95	35,90
27	Affaldspose transparent 70x110cm 10stk	2,00	11,95	23,90
28	Citronsaft 1L	1,00	23,95	23,95
29	Kortgebyr	1,00	21,59	21,59
