line	name_da	qty	unit_price	line_total
1	EGELYKKE ESTHER ML	5	24.95	124.75
2	EGELYKKE LAGRET SK.	5	34.00	170.00
3	RABAT			-45.25
4	EGELYKKE 45+ ML SKV.	4	24.95	99.80
5	LURPAK SMØRBAR 200G	5	27.95	139.75
6	RABAT			-40.00
7	KALKUNBRYST	10	15.95	159.50
8	HAMBURGERRYG	15	10.95	164.25
9	ICEBERG	2	12.00	24.00
10	SAMSØ AGURKESALAT	2	16.61	33.22
11	SAMSØ RØDKÅL	4	14.12	56.48
12	ØKO SKYLLET SPINAT	3	24.00	72.00
13	HAKKET GRØNT	8	32.95	263.60
14	VANILLEESS.			15.50
15	MAILLE SENNEP			22.00
16	SKRABEÆG 10 M/L	6	31.95	191.70
17	HVEDE SANDWICH 800G	4	14.00	56.00
18	PAGEN LIMPAN			27.25
19	RABAT			-5.25
20	BAKERSFIELD BURGERBO	10	15.00	150.00
21	TOTAL			1679.30
22	CARD FEE			21.83
23	BETALINGSKORT			1701.13
24	MOMS UDGØR			340.23
